calculate_theta,exp_theta,calculate_phi,exp_phi,angles
                  40,  37.933791518328654,                 154,  155.37658139743183,  2.2401262212332793
                  48,   46.42418422777202,                 151,  139.40622900023237,   8.645513780247166
                  45,  45.813002685120615,                 258,  243.53617103455093,  10.317997898086187
                  53,  62.150516763508215,                 200,   201.9189482578028,   9.292105310615657
                  45,   48.37061707216982,                 139,   147.4234075966325,   6.989435541829673
                  45,  52.533917268304506,                 163,  167.48310058103172,    8.25044688994151
                  48,   54.35327957088433,                 210,   217.2104923126764,    8.47405594206048
                  45,   48.33618030728342,                 197,  207.04976462091207,    8.02793460166615
                  39,  46.626752838518456,                 219,  215.17956372040769,   8.053731766186436
                  43,   53.96839918809533,                 184,  183.29564178819672,  10.980941741584376
                  47,   56.19835152360472,                 230,  235.52156822640592,     10.159343406183
                  42,   43.09362850826762,                 154,  161.23933336161517,   5.013801220223414
                  41,  43.987809433661866,                 136,  145.45381928017233,   7.043969985501115
                  47,   48.49956448743061,                 131,   136.5139055746125,   4.347187998896872
                  45,   47.15311037409615,                 136,      136.0618772138,   2.153571386624656
                  41,   43.43571396262296,                 148,   153.2381072401442,   4.278781350911143
                  39,   40.40857609263507,                 125,   133.8008542107765,   5.792063772539487
                  50,   54.86749360106545,                 248,   239.3941127558848,   8.373432755720279
                  39,   45.71954917143221,                 216,    219.371402130462,   7.091149231464004
                  38,   44.42034698910737,                 216,  216.97739388761235,   6.452391975067843
                  40,   44.08579865802079,                 248,   236.2962449168508,   8.825286120001095
                  68,   69.39789686274949,                 137,  137.49931702222938,   1.473267257477012
                  33,   38.57206913975969,                 203,   208.4499897797025,   6.414454915232092
                  39,   44.55910549249945,                 144,  159.07080738593584,  11.446780131266948
                  46,  45.873124057956254,                 116,  123.89835724554707,   5.674763116913092
                  43,   42.05826858693079,                 105,  112.94542902470964,   5.450193891519823
                  50,   49.00685669357069,                 120,  128.54389891436566,   6.569861486822995
                  20,  20.985639397852605,                 285,   182.7537296725584,   31.63776577527951
